Question,Ground_Truth,Retrieved_Pages,System_1_Answer,Latency_Sec,Input_Tokens,Output_Tokens,Total_Tokens,doc_name
"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",1.73,"[5, 6, 5, 24, 5]","Error: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""code"":400,""reason"":""INVALID_REQUEST_BODY"",""message"":""model: qwen/qwen-2.5-72b-instruct does not support endpoint: completions"",""metadata"":{}}', 'provider_name': 'Novita', 'is_byok': False}}, 'user_id': 'user_3AoO1VVVO5RQh4vrEfkj3BczslV'}",0.34,0,0,0,BLOCK_2016_10K
What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.,101.5%,"[1, 5, 5, 20, 20]","Error: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""code"":400,""reason"":""INVALID_REQUEST_BODY"",""message"":""model: qwen/qwen-2.5-72b-instruct does not support endpoint: completions"",""metadata"":{}}', 'provider_name': 'Novita', 'is_byok': False}}, 'user_id': 'user_3AoO1VVVO5RQh4vrEfkj3BczslV'}",0.39,0,0,0,BLOCK_2020_10K
"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",$382.00,"[13, 13, 13, 72, 13]","Error: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""code"":400, ""reason"":""INVALID_REQUEST_BODY"", ""message"":""model: qwen/qwen-2.5-72b-instruct does not support endpoint: completions"", ""metadata"":{}}', 'provider_name': 'Novita', 'is_byok': False}}, 'user_id': 'user_3AoO1VVVO5RQh4vrEfkj3BczslV'}",0.83,0,0,0,BLOCK_2020_10K
"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",$12645.00,"[37, 4, 29, 77, 4]","Error: Error code: 400 - {'error': {'message': 'Provider returned error', 'code': 400, 'metadata': {'raw': '{""code"":400,""reason"":""INVALID_REQUEST_BODY"",""message"":""model: qwen/qwen-2.5-72b-instruct does not support endpoint: completions"",""metadata"":{}}', 'provider_name': 'Novita', 'is_byok': False}}, 'user_id': 'user_3AoO1VVVO5RQh4vrEfkj3BczslV'}",0.36,0,0,0,BOEING_2018_10K
Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,"Yes. Boeing has product and service categories that represent more than 20% of Boeing's revenue for FY2022. These categories are Commercial Airplanes which comprises 39% of total revenue, Defence which comprises 35% of total revenue and Services which comprises 26% of total revenue.","[13, 48, 53, 11, 1]","Based on the provided context, the product categories and their respective revenues for the fiscal year 2022 are as follows:

- Commercial Airplanes: $25,867 million
- Defense, Space & Security: $23,162 million
- Global Services: $17,611 million
- Boeing Capital: $199 million

To determine if any of these categories represent more than 20% of Boeing's total revenue for FY2022, we can calculate the percentage of each category relative to the total revenue of $66,608 million.

- Commercial Airplanes: \( \frac{25,867}{66,608} \times 100 \approx 38.83\% \)
- Defense, Space & Security: \( \frac{23,162}{66,608} \times 100 \approx 34.77\% \)
- Global Services: \( \frac{17,611}{66,608} \times 100 \approx 26.43\% \)
- Boeing Capital: \( \frac{199}{66,608} \times 100 \approx 0.30\% \)

All three major categories—Commercial Airplanes, Defense, Space & Security, and Global Services—represent more than 20% of Boeing's revenue for FY2022.",99.91,1876,325,2201,BOEING_2022_10K
Has Boeing reported any materially important ongoing legal battles from FY2022?,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines crash.,"[6, 48, 28, 52, 46]","The provided context mentions that Boeing has various legal proceedings, claims, and investigations pending against it, but it does not specify any materially important ongoing legal battles from FY2022. For detailed information on specific legal contingencies, you would need to refer to Note 21 in Boeing's Consolidated Financial Statements. 

Based on the given context, I don't know the specific details of any materially important ongoing legal battles from FY2022.",8.13,3508,92,3600,BOEING_2022_10K
"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.","Yes. Boeing has an improving gross margin profile as of FY2022. Gross profit improved from $3,017 million in FY2021 to $3,502 million in FY2022. Gross margin % improved from 4.8% in FY2021 to 5.3% in FY2022.","[49, 26, 29, 6, 53]","The provided context does not contain specific information about Boeing's gross margin profile for FY2022. However, it does mention that if the combined gross margins for Boeing's profitable long-term contracts had been estimated to be higher or lower by 1% during 2022, it would have increased or decreased pre-tax income for the year by approximately \$300 million. This indicates that gross margins are a significant factor in Boeing's financial performance, but it does not provide a clear trend or improvement in gross margins.

Given the lack of specific data on gross margins, I cannot definitively state whether Boeing has an improving gross margin profile as of FY2022.

However, it is worth noting that for a company like Boeing, which is involved in long-term contracts and large-scale projects, gross margin might not be the most useful metric for evaluating financial health. This is because:

1. **Long-Term Contracts**: Boeing's business often involves long-term contracts with significant upfront costs and revenue recognition over extended periods. This can lead to fluctuations in gross margins that do not accurately reflect the company's overall financial performance.

2. **Complex Revenue Recognition**: The nature of Boeing's contracts, particularly in the defense and aerospace sectors, can make revenue recognition complex and subject to significant estimates and assumptions.

3. **Capital Intensive**: Boeing's operations are highly capital-intensive, and the company's financial health is often better assessed through metrics like cash flow, return on invested capital (ROIC), and earnings before interest, taxes, depreciation, and amortization (EBITDA).

4. **Operational Metrics**: Other metrics such as order backlog, delivery rates, and cost management are also crucial for understanding Boeing's performance.

In summary, while gross margins are important, they may not be the most useful single metric for evaluating Boeing's financial health in FY2022. A more comprehensive analysis would consider a range of financial and operational metrics.",86.28,3243,393,3636,BOEING_2022_10K
Who are the primary customers of Boeing as of FY2022?,Boeing's primary customers as of FY2022 are a limited number of commercial airlines and the US government. The US government accounted for 40% of Boeing's total revenues in FY2022.,"[6, 11, 21, 4, 2]","As of FY2022, Boeing's primary customers include:

1. **Commercial Airlines**: Boeing is one of the two major manufacturers of 100+ seat airplanes for the worldwide commercial airline industry.
2. **Non-U.S. Customers**: Non-U.S. customers, including foreign military sales (FMS), accounted for approximately 41% of Boeing's revenues in 2022.
3. **U.S. Military and Defense Contractors**: Boeing is one of the largest defense contractors in the U.S., providing military aircraft, satellites, missile defense, human space flight, and launch systems and services.

These customers are served through Boeing's global operations and extensive network of non-U.S. partners, key suppliers, and subcontractors.",16.25,2954,153,3107,BOEING_2022_10K
Is Boeing's business subject to cyclicality?,"Yes, Boeing's business is subject to cyclicality due to its exposure to the airline industry which is a cyclical industry.","[7, 6, 13, 11, 15]","Yes, Boeing's business is subject to cyclicality. The commercial aircraft market, which is a significant part of Boeing's business, is predominantly driven by long-term trends in airline passenger and cargo traffic. The airline industry has historically been cyclical and very competitive, experiencing significant profit swings and constant challenges to be more cost competitive. Significant deterioration in the global economic environment or the financial stability of major customers can result in fewer new orders for aircraft or services, or cause customers to seek to postpone or cancel contractual orders and payments, which can negatively impact Boeing's revenues, profitability, and cash flows.",7.08,2875,118,2993,BOEING_2022_10K
What production rate changes is Boeing forecasting for FY2023?,"Boeing forecasts an increase in the production rates for the 737, 777X and 787 aircrafts in 2023.","[34, 8, 35, 32, 41]","Boeing is forecasting the following production rate changes for FY2023:

- The 787 program is currently producing at low rates and is expected to gradually increase to 5 per month in 2023.
- Production of the 777X, which is currently paused, is expected to resume in 2023.
- The 737 program, which has experienced operational and supply chain challenges, is expected to gradually increase production rates based on market demand and supply chain capacity.",12.25,1533,106,1639,BOEING_2022_10K
How does Boeing's effective tax rate in FY2022 compare to FY2021?,"Effective tax rate in FY2022 was 0.62%, compared to  -14.76% in FY2021.","[23, 16, 18, 36, 17]","Boeing's effective income tax rate in fiscal year 2022 was (0.6)%, compared to 14.8% in fiscal year 2021. This indicates a decrease in the effective tax rate from 2021 to 2022.",5.13,1721,61,1782,BOEING_2022_10K
What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,0.01,"[28, 0, 29, 15, 25]","I don't know.

The provided context does not include the necessary financial figures such as net income for FY2017 and total assets for FY2016 and FY2017 to calculate the return on assets (ROA).",2.46,740,50,790,COCACOLA_2017_10K
What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,39.7%,"[16, 4, 4, 21, 12]",I don't know. The context provided does not include the specific line items from the income statement needed to calculate the COGS (Cost of Goods Sold) percentage margin for Coca Cola in FY2021.,2.97,1017,44,1061,COCACOLA_2021_10K
What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.,0.8,"[26, 26, 26, 24, 2]","To calculate the dividend payout ratio, we use the following formula:

\[ \text{Dividend Payout Ratio} = \frac{\text{Total Cash Dividends Paid}}{\text{Net Income Attributable to Shareholders}} \]

From the provided context:

- Total cash dividends paid in 2022: \$7,616 million
- Net income attributable to shareholders in 2022: \$9,542 million

Now, we can calculate the dividend payout ratio:

\[ \text{Dividend Payout Ratio} = \frac{7,616}{9,542} \approx 0.7982 \]

Rounding to two decimal places:

\[ \text{Dividend Payout Ratio} = 0.80 \]

So, Coca Cola's FY2022 dividend payout ratio is 0.80.",5.67,1390,189,1579,COCACOLA_2022_10K
"Based on the information provided primarily in the balance sheet and the statement of income, what is FY2020 days payable outstanding (DPO) for Corning? DPO is defined as: 365 * (average accounts payable between FY2019 and FY2020) / (FY2020 COGS + change in inventory between FY2019 and FY2020). Round your answer to two decimal places.",63.86,"[12, 11, 6, 5, 24]","To calculate the Days Payable Outstanding (DPO) for Corning in FY2020, we need to use the provided formula:

\[ \text{DPO} = \frac{365 \times \text{(average accounts payable between FY2019 and FY2020)}}{\text{(FY2020 COGS + change in inventory between FY2019 and FY2020)}} \]

From the provided context, we have the following data:

- **Accounts Payable:**
  - FY2020: $1,174 million
  - FY2019: $1,587 million

- **Inventories:**
  - FY2020: $2,438 million
  - FY2019: $2,320 million

- **Change in Inventory:**
  \[ \text{Change in Inventory} = \text{Inventories (2020)} - \text{Inventories (2019)} = 2,438 - 2,320 = 118 \text{ million} \]

However, the Cost of Goods Sold (COGS) for FY2020 is not directly provided in the context. Without the COGS, we cannot complete the calculation. 

Therefore, I don't know the exact value of the DPO for FY2020 for Corning.",13.54,3300,311,3611,CORNING_2020_10K
"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.",10.3%,"[6, 6, 27, 6, 5]","I don't know. The provided context does not include the necessary information to calculate the FY2019 - FY2021 3-year average unadjusted operating income % margin for Corning. The context only provides details about net income and gross margin for the year 2021, but does not include operating income or the required data for the years 2019 and 2020.",5.31,803,87,890,CORNING_2021_10K
"Basing your judgments off of the balance sheet, what is the year end FY2018 amount of accounts payable for MGM Resorts? Answer in USD millions.",$303.00,"[28, 3, 25, 0, 21]","I don't know. The provided context does not include a detailed balance sheet with the specific year-end FY2018 amount for accounts payable. The closest information provided is the change in accounts payable and accrued liabilities, but it does not give the total amount.",5.94,4840,53,4893,MGMRESORTS_2018_10K
What is the FY2018 - FY2020 3 year average of capex as a % of revenue for MGM Resorts? Answer in units of percents and round to one decimal place. Please utilize information provided primarily within the statement of cash flows and the statement of income.,7.9%,"[1, 15, 25, 20, 6]","I don't know. The provided context does not include the revenue figures for MGM Resorts for the years 2018 to 2020, which are necessary to calculate the capital expenditures (capex) as a percentage of revenue. The statement of cash flows provides the capex figures, but without the corresponding revenue figures, the calculation cannot be completed.",5.5,4667,74,4741,MGMRESORTS_2020_10K
Has MGM Resorts paid dividends to common shareholders in FY2022?,Yes. MGM maintained 0.01$ per share annual dividend through out FY 2022.,"[7, 19, 23, 72, 7]","I don't know. The provided context does not include information about MGM Resorts' dividend payments for the fiscal year 2022. The closest data available is from 2020, 2019, and 2018, but not for 2022.",4.64,6532,62,6594,MGMRESORTS_2022_10K
Which region had the Highest EBITDAR Contribution for MGM during FY2022?,Las Vegas resorts contributed ~90% of company level EBITDAR during FY2022.,"[12, 13, 0, 14, 9]","Based on the provided data, the Las Vegas Strip Resorts had the highest EBITDAR contribution for MGM Resorts International during the fiscal year 2022, with an Adjusted EBITDAR of $3,142,308 thousand.",4.13,2920,54,2974,MGMRESORTS_2022Q4_EARNINGS
What was MGM's interest coverage ratio using FY2022 Adjusted EBIT as the numerator and annual Interest Expense as the denominator?,"As adjusted EBIT is negative, coverage ratio is zero","[14, 13, 3, 10, 11]",I don't know. The context provided does not include the specific figures for FY2022 Adjusted EBIT or the annual Interest Expense necessary to calculate the interest coverage ratio.,2.55,4730,37,4767,MGMRESORTS_2022Q4_EARNINGS
Which region had the worst topline performance for MGM during FY2022?,MGM China experienced the worst topline performance amongst the other regions presented. Its revenue declined 44% in FY2022 whereas the other regions presented increased their revenues.,"[0, 10, 3, 12, 12]","Based on the provided financial data, MGM China had the worst topline performance for MGM Resorts International during the fiscal year 2022. The net revenues for MGM China were $673,593,000, which is significantly lower compared to the other regions:

- Las Vegas Strip Resorts: $8,398,372,000
- Regional Operations: $3,815,885,000
- Management and other operations: $239,635,000

Therefore, MGM China had the worst topline performance.",6.35,2891,129,3020,MGMRESORTS_2022Q4_EARNINGS
Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,the biggest short term investment is in corporate bonds (almost 82% of the total investment),"[10, 17, 9, 6, 5]","Based on the provided context, the type of debt that received the largest investment among the short-term investments for the company in H1 FY2023 is **Corporate bonds**, with a fair value of $416,420,000.",3.72,1672,54,1726,MGMRESORTS_2023Q2_10Q
What is the FY2016 COGS for Microsoft? Please state answer in USD millions. Provide a response to the question by primarily using the statement of income.,$32780.00,"[4, 9, 10, 12, 3]","To calculate the Cost of Goods Sold (COGS) for Microsoft in FY2016, we can use the information provided in the statement of income. The COGS can be derived from the revenue and gross margin data.

From the table on Page 4:
- Revenue for FY2016: $85,320 million
- Gross margin for FY2016: $52,540 million

The formula to calculate COGS is:
\[ \text{COGS} = \text{Revenue} - \text{Gross Margin} \]

Substituting the given values:
\[ \text{COGS} = 85,320 - 52,540 = 32,780 \]

Therefore, the COGS for Microsoft in FY2016 is $32,780 million.",12.22,3883,185,4068,MICROSOFT_2016_10K
Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?,No. Microsoft decreased its debt by $2.5bn in FY 2023 vs FY 2022.,"[15, 5, 29, 23, 72]","Based on the balance sheet data provided:

- Long-term debt for Microsoft as of June 30, 2023, is $41,990 million.
- Long-term debt for Microsoft as of June 30, 2022, is $47,032 million.

Since $41,990 million (2023) is less than $47,032 million (2022), Microsoft has **decreased** its long-term debt on the balance sheet between FY2023 and FY2022. 

Therefore, Microsoft has not increased its debt on the balance sheet between FY2023 and FY2022.",9.77,2996,152,3148,MICROSOFT_2023_10K
We want to calculate a financial metric. Please help us compute it by basing your answers off of the statement of income and the statement of cash flows. Here's the question: what is the FY2015 unadjusted EBITDA % margin for Netflix? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement).,5.4%,"[5, 26, 17, 11, 72]","To calculate the FY2015 unadjusted EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization) margin for Netflix, we need to follow these steps:

1. **Find the Operating Income for FY2015:**
   - From the financial table on Page 17, we can see the Net Income for FY2015 is $122,641 thousand.
   - However, we need the Operating Income, which is not directly provided. We can infer it from the Cash Flow Statement.

2. **Find the Depreciation and Amortization (D&A) for FY2015:**
   - From the financial table on Page 11, we can find the D&A:
     - Depreciation and amortization of property, equipment, and intangibles: $62,283 thousand
     - Amortization of streaming content assets: $3,405,382 thousand
     - Amortization of DVD content assets: $79,380 thousand
   - Total D&A = $62,283 + $3,405,382 + $79,380 = $3,547,045 thousand

3. **Calculate Unadjusted EBITDA:**
   - Unadjusted EBITDA = Operating Income + D&A
   - We need to find the Operating Income. From the Cash Flow Statement, we can see the adjustments to reconcile net income to net cash provided by operating activities. The operating income can be derived by adding back the non-cash expenses to the net income.
   - Net Income = $122,641 thousand
   - Add back D&A: $3,547,045 thousand
   - Add back other non-cash items (e.g., stock-based compensation, deferred taxes, etc.):
     - Stock-based compensation expense: $124,725 thousand
     - Excess tax benefits from stock-based compensation: $(80,471) thousand
     - Deferred taxes: $(58,655) thousand
     - Other non-cash items: $31,628 thousand
   - Total non-cash items = $124,725 - $80,471 - $58,655 + $31,628 = $117,227 thousand
   - Operating Income = Net Income + Total non-cash items = $122,641 + $117,227 = $239,868 thousand

4. **Calculate Unadjusted EBITDA:**
   - Unadjusted EBITDA = Operating Income + D&A = $239,868 + $3,547,045 = $3,786,913 thousand

5. **Find the Revenue for FY2015:**
   - Revenue is not directly provided in the given tables. However, we can use the Net Income and other data to infer it. For simplicity, let's assume we have the revenue from another source or it is provided in the full financial statements.

6. **Calculate the EBITDA Margin:**
   - EBITDA Margin = (Unadjusted EBITDA / Revenue) * 100
   - Without the exact revenue, we cannot calculate the exact margin. However, if we assume the revenue is known, the formula would be:
     - EBITDA Margin = ($3,786,913 / Revenue) * 100

Since the revenue is not provided in the given context, we cannot compute the exact EBITDA margin. If you can provide the revenue for FY2015, we can complete the calculation.",32.2,4800,819,5619,NETFLIX_2015_10K
What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.,$5466.00,"[18, 13, 29, 27, 0]",I don't know. The provided balance sheet does not include a line item for total current liabilities.,1.48,3091,20,3111,NETFLIX_2017_10K
"We need to calculate a reasonable approximation (or exact number if possible) of a financial metric. Basing your judgment by information plainly provided in the statement of income, what is Nike's three year average of cost of goods sold as a % of revenue from FY2016 to FY2018? Answer in units of percents and round to one decimal place.",55.1%,"[15, 8, 20, 14, 5]","I don't know. The context provided does not include the cost of goods sold (COGS) data for the fiscal years 2016 to 2018, which is necessary to calculate the three-year average of COGS as a percentage of revenue.",5.97,2081,55,2136,NIKE_2018_10K
"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions.",$16525.00,"[5, 18, 9, 9, 11]",I don't know. The provided context does not include the total current assets for Nike at the end of FY2019.,1.57,586,27,613,NIKE_2019_10K
"When primarily referencing the income statement and the statement of financial position, what is the FY2021 inventory turnover ratio for Nike? Inventory turnover ratio is defined as: (FY2021 COGS) / (average inventory between FY2020 and FY2021). Round your answer to two decimal places.",3.46,"[16, 7, 1, 12, 8]","I don't know. The context provided does not include the Cost of Goods Sold (COGS) for FY2021 or the inventory levels for FY2020 and FY2021, which are necessary to calculate the inventory turnover ratio.",7.2,5933,53,5986,NIKE_2021_10K
"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?","Among the three, cash flow from operations was the highest for Nike in FY2023.","[17, 18, 17, 8, 24]","Among operations, investing, and financing activities, operations brought in the most cash flow for Nike in FY2023, with an inflow of \$5,841 million.",5.57,1380,38,1418,NIKE_2023_10K
"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",Yes. Paypal has a positive working capital of $ 1.6Bn as of FY2022 end.,"[9, 19, 1, 2, 1]","I don't know. The provided context does not include information about PayPal's current assets and current liabilities, which are necessary to calculate working capital. Working capital is defined as current assets minus current liabilities, and without this data, it is not possible to determine if PayPal has positive working capital for FY2022.",3.04,2818,64,2882,PAYPAL_2022_10K
What is the FY2021 capital expenditure amount (in USD billions) for PepsiCo? Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows.,$4.60,"[21, 21, 19, 10, 22]","According to the statement of cash flows for PepsiCo in 2021, the capital expenditure amount (net capital spending) was \$4.5 billion.",1.53,632,33,665,PEPSICO_2021_10K
What are the geographies that Pepsico primarily operates in as of FY2022?,"As of FY2022, Pepsico primarily operates in the following geographies: North America, Latin America, Europe, Africa, Middle East, South Asia, Asia Pacific, Australia, New Zealand and China.","[9, 2, 11, 1, 8]","As of FY2022, PepsiCo's largest operations are in the United States, Mexico, Russia, Canada, China, the United Kingdom, and South Africa.",2.44,1398,35,1433,PEPSICO_2022_10K
Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?,"No, Pepsico is not involved in material legal battles.","[1, 0, 4, 0, 0]",I don't know. The provided context does not contain any information about Pepsico's legal battles for FY2022 and FY2021.,1.95,1351,33,1384,PEPSICO_2022_10K
What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,Pepsico's restructuring costs in FY2022 amounted to $411 million .,"[18, 3, 7, 15, 17]","The quantity of restructuring costs directly outlined in PepsiCo's income statements for FY2022 is $411 million. This can be found in the ""Total restructuring and impairment charges"" row of the Financial Table on Page 17.",2.64,2309,50,2359,PEPSICO_2022_10K
What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.,$9068.00,"[18, 14, 19, 11, 22]","I don't know. The provided context does not include the necessary details to calculate unadjusted EBITDA less capex for PepsiCo in FY2022. Specifically, the context lacks the operating income and capital expenditures (capex) figures required for the calculation.",2.47,3085,55,3140,PEPSICO_2022_10K
What is the FY2022 unadjusted EBITDA % margin for PepsiCo? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement). Give a response to the question by relying on the details shown in the statement of cash flows and the P&L statement.,16.5%,"[9, 22, 18, 25, 20]","I don't know.

The context provided does not include the necessary data to calculate the unadjusted EBITDA % margin for PepsiCo in FY2022. Specifically, the depreciation and amortization (D&A) figures are not provided in the given tables, and the operating income (operating profit) is already adjusted. Therefore, I cannot perform the calculation with the information available.",2.97,1416,79,1495,PEPSICO_2022_10K
"At the Pepsico AGM held on May 3, 2023, what was the outcome of the shareholder vote on the shareholder proposal for a congruency report by Pepsico on net-zero emissions policies?",The shareholder proposal for a congruency report by Pepsico on net-zero emissions policies was defeated.,"[2, 3, 3, 3, 3]",The shareholder proposal regarding a congruency report on net-zero emissions policies was defeated.,2.15,404,17,421,PEPSICO_2023_8K_dated-2023-05-05
"By how much did Pepsico increase its unsecured five year revolving credit agreement on May 26, 2023?","$400,000,000 increase.","[1, 1, 1, 1, 11]","PepsiCo did not increase its unsecured five year revolving credit agreement on May 26, 2023. Instead, it entered into a new \$4,200,000,000 five year unsecured revolving credit agreement, which replaced the previous \$3,800,000,000 five year unsecured revolving credit agreement that was terminated on the same day. The new agreement allows for a potential increase to up to \$4,950,000,000, but this increase has not yet been implemented.",5.32,1415,124,1539,PEPSICO_2023_8K_dated-2023-05-30
"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?","Total amount Pepsico may borrow under unsecured revolving credit agreements = $8,400,000,000.","[1, 1, 1, 1, 12]","As of May 26, 2023, PepsiCo may borrow a total of \$8,400,000,000 under its unsecured revolving credit agreements. This includes:

- \$4,200,000,000 under the 2023 364 Day Credit Agreement
- \$4,200,000,000 under the 2023 Five Year Credit Agreement

Both agreements allow for potential increases to up to \$4,950,000,000 each, but the current committed amount is \$8,400,000,000.",8.53,1562,148,1710,PEPSICO_2023_8K_dated-2023-05-30
Did Pfizer grow its PPNE between FY20 and FY21?,"Yes, change in PPNE was positive year over year","[29, 38, 39, 3, 41]","I don't know. The provided context does not include information about Pfizer's PPNE (Property, Plant, and Equipment) for the fiscal years 2020 and 2021. The context primarily focuses on revenue growth, product performance, and executive leadership details.",3.0,3656,57,3713,PFIZER_2021_10K
Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?,"Yes, the gain on completion of Consumer Healthcare JV Transaction","[50, 39, 27, 46, 38]","I don't know. The provided context does not contain specific information about potential events that are not part of Pfizer's standard business operations that substantially increased net income in 2019. The context primarily focuses on 2021 and 2020, and the changes in financial metrics and operations during those years.",3.63,3970,67,4037,PFIZER_2021_10K
What are three main companies acquired by Pfizer mentioned in this 10K report?,"Trillium, Array, and Therachon","[50, 8, 46, 53, 34]","The three main companies acquired by Pfizer mentioned in this 10K report are:

1. **Trillium** - A clinical stage immuno-oncology company developing innovative potential therapies for the treatment of cancer. The acquisition was completed in November 2021.
2. **Arena** - A clinical stage company developing innovative potential therapies for the treatment of several immuno-inflammatory diseases. The acquisition was announced in December 2021 and was expected to close in the first half of 2022, subject to review under antitrust laws and other customary closing conditions.
3. **Arvinas** - While not an acquisition, Pfizer entered into a global collaboration with Arvinas in July 2021 to develop and commercialize ARV-471, an investigational oral PROTAC® estrogen receptor protein degrader. However, it is a significant business development activity. 

Note: The question specifically asked for acquisitions, so the collaboration with Arvinas is mentioned for context but does not count as an acquisition.",9.74,2846,215,3061,PFIZER_2021_10K
How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?,77.78,"[40, 41, 13, 41, 36]","Pfizer expects to incur costs of approximately $700 million in connection with separating Upjohn, of which approximately 90% has already been incurred since inception and through the second quarter of 2023. Therefore, the remaining amount Pfizer expects to pay in the future is approximately $70 million.",3.11,1500,65,1565,Pfizer_2023Q2_10Q
"For Pfizer, which geographic region had the biggest drop in Q22023 year over year revenues (on a percentage basis)?",Developed Rest of the World,"[55, 3, 44, 49, 45]","Based on the provided context, the International region had the biggest drop in Q2 2023 year-over-year revenues on a percentage basis. The revenues decrease for the International region was $9,971 million, while the U.S. region's decrease was $5,037 million. 

However, to determine the percentage decrease, we would need the revenue figures from the prior year for both regions, which are not provided in the context. Therefore, I cannot definitively state the percentage decrease for each region. 

Given the absolute values, the International region had a larger decrease in revenues, but without the prior year's figures, we cannot confirm the percentage decrease. 

So, the answer based on the available data is that the International region had the biggest drop in absolute terms, but I don't know the percentage decrease.",8.07,3625,171,3796,Pfizer_2023Q2_10Q
"As of Q2'2023, is Pfizer spinning off any large business segments?","Yes, it's spinning off Upjohn.","[38, 39, 33, 3, 41]",I don't know. The provided context does not contain information about Pfizer spinning off any large business segments as of Q2'2023.,6.31,4773,30,4803,Pfizer_2023Q2_10Q
Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,There are none,"[20, 26, 19, 27, 0]",I don't know. The provided context does not include information about Ulta Beauty's debt securities registered to trade on a national securities exchange as of FY2023.,2.1,4245,35,4280,ULTABEAUTY_2023_10K
What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,Ulta Beauty did not make any acquisitions in FY2023 and FY2022.,"[6, 4, 9, 11, 19]",I don't know. The provided context does not mention any major acquisitions that Ulta Beauty has made in FY2023 or FY2022.,1.75,2246,33,2279,ULTABEAUTY_2023_10K
What drove the reduction in SG&A expense as a percent of net sales in FY2023?,"Lower marketing expenses and leverage of incentive compensation due to higher sales. The answer here assumes FY2023 refers to the 12 months ended on January 28, 2023 (although the company refers to this period as its fiscal 2022.","[1, 1, 2, 2, 28]","Based on the provided context, the reduction in SG&A expenses as a percentage of net sales in FY2023 for AMCOR was driven by a decrease in SG&A expenses from $1,284 million in 2022 to $1,246 million in 2023, while the percentage of net sales decreased from 8.8% to 8.5%. However, the specific drivers (such as marketing, payroll, or other factors) are not detailed in the context provided. Therefore, I don't know the exact factors that drove this reduction.",4.82,880,122,1002,ULTABEAUTY_2023Q4_EARNINGS
